id,connector_id,resource_kind,external_id,name,description,selected,last_sync_at,node_count,meta,created_at,updated_at
ec85d11b-4758-4e6b-9168-37a4ab010b48,32c486c3-291f-468a-8e05-5b8691dfbe8c,github_repo,ldbtech/rust_projects,ldbtech/rust_projects,These are dot...,false,,0,{},2026-05-19 14:42:09.412828-04:00,2026-05-19 15:52:12.677140-04:00
b40a4000-7316-470f-9ec3-3abdd2293202,32c486c3-291f-468a-8e05-5b8691dfbe8c,github_repo,ldbtech/football_data_analytics,ldbtech/football_data_analytics,,false,,0,{},2026-05-19 14:42:09.416359-04:00,2026-05-19 15:52:12.677140-04:00
1bd6c0f8-6c96-4cc0-ac5e-b964a774bd13,32c486c3-291f-468a-8e05-5b8691dfbe8c,github_repo,ldbtech/varitasnews,ldbtech/varitasnews,,false,,0,{},2026-05-19 14:42:09.423065-04:00,2026-05-19 15:52:12.677140-04:00
8aa93500-8793-47c3-8b80-ffa465c78da0,32c486c3-291f-468a-8e05-5b8691dfbe8c,github_repo,ldbtech/my-app,ldbtech/my-app,,false,,0,{},2026-05-19 14:42:09.426211-04:00,2026-05-19 15:52:12.677140-04:00
1bc9e56e-8ec3-4baa-bc5d-2f333a16ab96,32c486c3-291f-468a-8e05-5b8691dfbe8c,github_repo,ldbtech/code-challenges,ldbtech/code-challenges,,false,,0,{},2026-05-19 14:42:09.432698-04:00,2026-05-19 15:52:12.677140-04:00
716fc99a-a2ef-493a-b36c-12b051d4b31c,d4a73a1d-dfc2-41dc-9f73-1716f0a70517,github_repo,ldbtech/learnings,ldbtech/learnings,Learning new tech,false,,0,{},2026-05-24 15:54:12.239007-04:00,2026-05-24 22:58:02.712190-04:00
b23bcfe0-4f30-4b4d-82d4-3d5e28f7f78e,d01f9c88-b44c-441a-b5d6-d6060a565d9d,notion_page,36689345584e80468057e62d817cf5aa,To Do List,,true,,0,{},2026-05-23 20:51:29.558853-04:00,2026-05-23 20:51:42.422620-04:00
946cb3ac-1f99-4abf-af86-b04507d259cd,d01f9c88-b44c-441a-b5d6-d6060a565d9d,notion_page,36689345584e800c9557f1cfe534ef72,Page 36689345,,false,,0,{},2026-05-23 20:51:29.603334-04:00,2026-05-23 20:51:42.422620-04:00
b9f362aa-bdb0-4767-b691-bcd90fe9efa2,d01f9c88-b44c-441a-b5d6-d6060a565d9d,notion_page,36689345584e804db3e0d76a6a4ac52d,Page 36689345,,false,,0,{},2026-05-23 20:51:29.615321-04:00,2026-05-23 20:51:42.422620-04:00
d874576d-52f0-420d-90c1-a9e3f12a5917,32c486c3-291f-468a-8e05-5b8691dfbe8c,github_repo,ldbtech/SmartNeighbors,ldbtech/SmartNeighbors,"Create a platform that allows neighbors to share resources such as tools, equipment, and skills. This platform aims to foster community cooperation, reduce waste, and save costs by enabling users to borrow and lend items locally.",false,,0,{},2026-05-19 14:42:09.429331-04:00,2026-05-19 15:52:12.677140-04:00
0cebb61a-0184-42f4-a9ab-78c4ae121838,32c486c3-291f-468a-8e05-5b8691dfbe8c,github_repo,ldbtech/db-agent,ldbtech/db-agent,SQL ChatBot - Talk to your DB in Natural Language,false,,0,{},2026-05-19 14:42:09.436192-04:00,2026-05-19 15:52:12.677140-04:00
